id;id_order;fecha_bloqueo;motivo;xmlerp
19;75;"2022-03-29 12:38:54";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
20;76;"2022-03-29 12:39:09";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
21;77;"2022-03-29 12:39:15";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
22;78;"2022-03-29 12:39:21";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
23;79;"2022-03-29 12:39:22";"Existe nota en el pedido";
24;80;"2022-03-29 12:39:23";"Existe nota en el pedido";
25;82;"2022-03-29 12:39:50";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = prog_alvarez10@alsernet.es)"
26;107;"2022-04-20 15:26:49";"Existe nota en el pedido";
27;118;"2022-04-20 15:32:06";"Fallo comunicación ERP";"Servidor ocupado"
28;119;"2022-04-20 15:32:08";"Existe arma en el pedido";
29;120;"2022-04-20 15:32:19";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = anacup@a-alvarez.com)"
30;124;"2022-04-20 15:34:10";"Al menos una referencia no existe en el ERP";
31;126;"2022-04-20 15:34:12";"Existe nota en el pedido";
32;127;"2022-04-20 15:34:25";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = anacup@a-alvarez.com)"
33;130;"2022-04-20 15:35:31";"Existe lote o licencia (producto bundle)";
34;131;"2022-04-20 15:35:32";"Existe lote o licencia (producto bundle)";
35;133;"2022-04-20 15:45:23";"Fallo comunicación ERP";"Servidor ocupado"
36;133;"2022-04-20 15:55:02";"Fallo comunicación ERP";"ERROR 20451: No es posible insertar dos pedidos con el mismo identificador. (identificador_origen = 133)"
37;134;"2022-04-20 18:06:40";"Fallo comunicación ERP";"ERROR 20401: El cliente encontrado con mismo email pero sin certeza de que sea el mismo cliente. (cliente_email = pruebanueva@a-alvarez.com)"
38;137;"2022-04-20 18:07:25";"Existe arma en el pedido";
39;138;"2022-04-20 18:08:28";"Fallo comunicación ERP";"Servidor ocupado"
40;140;"2022-04-22 10:50:56";"Fallo comunicación ERP";"Servidor ocupado"
41;139;"2022-04-22 10:51:01";"Fallo comunicación ERP";"ERROR 20451: No es posible insertar dos pedidos con el mismo identificador. (identificador_origen = 139)"
42;142;"2022-04-22 13:56:51";"Existe arma en el pedido";
43;143;"2022-04-22 13:56:53";"Al menos una referencia no existe en el ERP";
44;145;"2022-04-22 13:56:56";"Al menos una referencia no existe en el ERP";
45;146;"2022-04-22 18:19:21";"Fallo comunicación ERP";"Servidor ocupado"
46;146;"2022-04-22 18:19:33";"Fallo comunicación ERP";"Servidor ocupado"
47;150;"2022-04-26 09:31:36";"Fallo comunicación ERP";"ERROR 20451: No es posible insertar dos pedidos con el mismo identificador. (identificador_origen = 150)"
48;171;"2022-05-03 16:55:26";"Existe arma en el pedido";
49;172;"2022-05-03 16:55:28";"Al menos una referencia no existe en el ERP";
50;177;"2022-05-03 16:56:19";"Existe arma en el pedido";
51;179;"2022-05-13 13:44:22";"Al menos una referencia no existe en el ERP";
52;180;"2022-05-13 13:44:26";"Al menos una referencia no existe en el ERP";
53;183;"2022-05-13 13:45:16";"Existe nota en el pedido";
54;186;"2022-05-13 13:45:32";"Existe nota en el pedido";
55;189;"2022-05-13 13:46:25";"Existe lote o licencia (producto bundle)";
